code,name,sector,netProfit亿元,netProfitGrowth%,netProfitGrowthText,netProfitPositive,verificationStatus,sourceLevel,sourceName,sourceUrl,announcementDate
000988.SZ,华工科技,CPO/高速光模块,14.7079470416,20.48,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-03-26/1225031508.PDF,2026-03-26
300308.SZ,中际旭创,CPO/高速光模块,107.9725430045,101.0,,True,verified,正式披露链接已写入,2025年年度报告摘要（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-03-31/1225056458.PDF,2026-03-31
300394.SZ,天孚通信,CPO/高速光模块,20.1726603408,50.15,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-04-08/1225082704.PDF,2026-04-08
300502.SZ,新易盛,CPO/高速光模块,95.3192273017,235.89,,True,verified,正式披露链接已写入,2025年年度报告摘要（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-04-24/1225172597.PDF,2026-04-24
002384.SZ,东山精密,PCB,13.8606670556,27.67,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-04-22/1225139317.PDF,2026-04-22
002463.SZ,沪电股份,PCB,38.22306272,47.74,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-03-25/1225027831.PDF,2026-03-25
002916.SZ,深南电路,PCB,32.7573815127,74.47,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-03-13/1225006759.PDF,2026-03-13
300476.SZ,胜宏科技,PCB,43.119882744,273.52,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-03-13/1225007454.PDF,2026-03-13
001309.SZ,德明利,存储芯片/存储产品,6.8832903123,96.35,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-02-28/1224989019.PDF,2026-02-28
301308.SZ,江波龙,存储芯片/存储产品,14.2329816288,185.41,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-04-28/1225214127.PDF,2026-04-28
